step,training_loss,validation_loss
1,15.4227,
2,14.6664,
3,15.6397,
4,14.8044,
5,14.9694,
6,14.6601,
7,9.2386,
8,4.3017,
9,1.5669,
10,1.1906,
11,1.2304,
12,1.1475,
13,1.0512,
14,1.096,
15,0.8857,
16,0.9472,
17,0.9377,
18,0.9351,
19,0.7316,
20,0.9899,
21,0.7329,
22,0.6065,
23,0.7996,
24,0.8842,
25,0.6122,
26,0.8048,
27,0.7801,
28,0.5557,
29,0.641,
30,0.6093,
31,0.7414,
32,0.6426,
33,0.503,
34,0.5043,
35,0.6354,
36,0.5995,
37,0.4907,
38,0.5708,
39,0.5241,
40,0.6412,
41,0.4878,
42,0.5093,
43,0.3114,
44,0.4772,
45,0.4705,
46,0.4111,
47,0.4073,
48,0.3507,
49,0.4188,
50,0.5214,
51,0.3451,
52,0.4497,
53,0.5416,
54,0.406,
55,0.3295,
56,0.3023,
57,0.3501,
58,0.3268,
59,0.253,
60,0.3845,
61,0.3752,
62,0.5157,
63,0.6105,
64,0.1335,0.38410627841949463
65,0.4979,
66,0.4486,
67,0.3273,
68,0.3426,
69,0.3322,
70,0.3112,
71,0.3059,
72,0.3355,
73,0.2733,
74,0.4089,
75,0.3453,
76,0.4694,
77,0.3623,
78,0.2978,
79,0.3031,
80,0.2694,
81,0.2884,
82,0.4188,
83,0.4232,
84,0.3818,
85,0.33,
86,0.3008,
87,0.3588,
88,0.409,
89,0.2327,
90,0.3285,
91,0.2409,
92,0.2558,
93,0.309,
94,0.2387,
95,0.236,
96,0.2718,
97,0.3079,
98,0.3533,
99,0.399,
100,0.4173,
101,0.3484,
102,0.3336,
103,0.3426,
104,0.4314,
105,0.2887,
106,0.2765,
107,0.3961,
108,0.3602,
109,0.3487,
110,0.265,
111,0.3032,
112,0.4066,
113,0.308,
114,0.3446,
115,0.2476,
116,0.3831,
117,0.2566,
118,0.3642,
119,0.2993,
120,0.2745,
121,0.2368,
122,0.2666,
123,0.324,
124,0.3707,
125,0.3044,
126,0.2614,
127,0.2642,
128,0.2041,0.3182927966117859
129,0.3254,
130,0.1635,
131,0.2558,
132,0.2773,
133,0.3855,
134,0.3222,
135,0.2994,
136,0.2174,
137,0.2505,
138,0.2191,
139,0.2622,
140,0.2133,
141,0.2579,
142,0.3077,
143,0.1935,
144,0.1683,
145,0.3928,
146,0.2318,
147,0.256,
148,0.2453,
149,0.2733,
150,0.269,
151,0.2954,
152,0.2398,
153,0.1736,
154,0.3152,
155,0.2381,
156,0.2645,
157,0.1949,
158,0.3159,
159,0.3768,
160,0.2854,
161,0.2796,
162,0.1886,
163,0.2661,
164,0.1968,
165,0.2829,
166,0.2081,
167,0.2264,
168,0.2954,
169,0.2081,
170,0.3095,
171,0.3647,
172,0.2312,
173,0.272,
174,0.2224,
175,0.2056,
176,0.2712,
177,0.3317,
178,0.3295,
179,0.2954,
180,0.193,
181,0.1641,
182,0.2412,
183,0.2959,
184,0.3645,
185,0.1502,
186,0.1834,
187,0.2464,
188,0.2433,
189,0.2193,
190,0.2044,
191,0.2781,
192,0.1988,0.29737889766693115
193,0.2095,
194,0.2561,
195,0.2974,
196,0.3129,
197,0.1547,
198,0.2851,
199,0.2425,
200,0.3605,
201,0.1903,
202,0.2095,
203,0.1726,
204,0.2561,
205,0.1322,
206,0.2524,
207,0.2233,
208,0.2332,
209,0.1817,
210,0.1577,
211,0.1757,
212,0.1447,
213,0.1694,
214,0.1978,
215,0.198,
216,0.1736,
217,0.2283,
218,0.3226,
219,0.1924,
220,0.1822,
221,0.187,
222,0.188,
223,0.1975,
224,0.2162,
225,0.2026,
226,0.1935,
227,0.2355,
228,0.1761,
229,0.1362,
230,0.2232,
231,0.1386,
232,0.1863,
233,0.2524,
234,0.2362,
235,0.257,
236,0.2035,
237,0.2513,
238,0.139,
239,0.2446,
240,0.1734,
241,0.2391,
242,0.2111,
243,0.2332,
244,0.3164,
245,0.3096,
246,0.2492,
247,0.2235,
248,0.2934,
249,0.2044,
250,0.2032,
251,0.2308,
252,0.2705,0.29344743490219116
